code,name,link,market_cap,today_price,previous_price,rate
005930,삼성전자,https://finance.naver.com/item/main.naver?code=005930,"369조5,295억원",61900,60000,3.07
373220,LG에너지솔루션,https://finance.naver.com/item/main.naver?code=373220,"91조9,620억원",393000,400000,-1.78
000660,SK하이닉스,https://finance.naver.com/item/main.naver?code=000660,"73조5,282억원",101000,98700,2.28
207940,삼성바이오로직스,https://finance.naver.com/item/main.naver?code=207940,"57조6,509억원",810000,817000,-0.86
035420,NAVER,https://finance.naver.com/item/main.naver?code=035420,"40조4,381억원",246500,231000,6.29
005380,현대차,https://finance.naver.com/item/main.naver?code=005380,"39조6,354억원",185500,183500,1.08
006400,삼성SDI,https://finance.naver.com/item/main.naver?code=006400,"37조5,454억원",546000,548000,-0.37
051910,LG화학,https://finance.naver.com/item/main.naver?code=051910,"36조3,551억원",515000,512000,0.58
000270,기아,https://finance.naver.com/item/main.naver?code=000270,"32조4,696억원",80100,79100,1.25
035720,카카오,https://finance.naver.com/item/main.naver?code=035720,"32조3,922억원",72800,70100,3.71
068270,셀트리온,https://finance.naver.com/item/main.naver?code=068270,"25조7,605억원",183000,186500,-1.91
028260,삼성물산,https://finance.naver.com/item/main.naver?code=028260,"21조3,986억원",114500,113000,1.31
012330,현대모비스,https://finance.naver.com/item/main.naver?code=012330,"20조2,859억원",214500,211500,1.4
005490,POSCO홀딩스,https://finance.naver.com/item/main.naver?code=005490,"19조7,478억원",226500,224000,1.1
105560,KB금융,https://finance.naver.com/item/main.naver?code=105560,19조301억원,46150,44050,4.55
055550,신한지주,https://finance.naver.com/item/main.naver?code=055550,"17조7,732억원",34650,33400,3.61
096770,SK이노베이션,https://finance.naver.com/item/main.naver?code=096770,"15조9,965억원",173000,170500,1.45
034730,SK,https://finance.naver.com/item/main.naver?code=034730,"15조7,567억원",212500,210500,0.94
066570,LG전자,https://finance.naver.com/item/main.naver?code=066570,"15조1,374억원",92500,90900,1.73
323410,카카오뱅크,https://finance.naver.com/item/main.naver?code=323410,"14조5,742억원",30600,29900,2.29
015760,한국전력,https://finance.naver.com/item/main.naver?code=015760,"13조9,306억원",21700,21500,0.92
003550,LG,https://finance.naver.com/item/main.naver?code=003550,12조650억원,76700,75900,1.04
017670,SK텔레콤,https://finance.naver.com/item/main.naver?code=017670,"11조9,702억원",54700,53500,2.19
259960,크래프톤,https://finance.naver.com/item/main.naver?code=259960,"11조7,037억원",238500,235500,1.26
032830,삼성생명,https://finance.naver.com/item/main.naver?code=032830,"11조7,000억원",58500,57000,2.56
011200,HMM,https://finance.naver.com/item/main.naver?code=011200,"11조3,213억원",23150,22500,2.81
051900,LG생활건강,https://finance.naver.com/item/main.naver?code=051900,"11조1,982억원",717000,711000,0.84
034020,두산에너빌리티,https://finance.naver.com/item/main.naver?code=034020,"11조1,760억원",17650,17450,1.13
033780,KT&G,https://finance.naver.com/item/main.naver?code=033780,"11조1,344억원",81100,81200,-0.12
329180,현대중공업,https://finance.naver.com/item/main.naver?code=329180,11조79억원,124000,114000,8.06
086790,하나금융지주,https://finance.naver.com/item/main.naver?code=086790,"10조5,342억원",35600,33850,4.92
009150,삼성전기,https://finance.naver.com/item/main.naver?code=009150,"10조4,571억원",140000,139000,0.71
010950,S-Oil,https://finance.naver.com/item/main.naver?code=010950,"10조3,914억원",92300,88900,3.68
302440,SK바이오사이언스,https://finance.naver.com/item/main.naver?code=302440,"10조2,891억원",134000,137000,-2.24
018260,삼성에스디에스,https://finance.naver.com/item/main.naver?code=018260,"10조1,752억원",131500,130500,0.76
030200,KT,https://finance.naver.com/item/main.naver?code=030200,"9조7,003억원",37150,36600,1.48
000810,삼성화재,https://finance.naver.com/item/main.naver?code=000810,"9조4,276억원",199000,195500,1.76
003490,대한항공,https://finance.naver.com/item/main.naver?code=003490,"9조2,792억원",25200,24350,3.37
377300,카카오페이,https://finance.naver.com/item/main.naver?code=377300,"8조9,722억원",67700,66200,2.22
010130,고려아연,https://finance.naver.com/item/main.naver?code=010130,"8조6,802억원",460000,450000,2.17
003670,포스코케미칼,https://finance.naver.com/item/main.naver?code=003670,"8조6,759억원",112000,109000,2.68
316140,우리금융지주,https://finance.naver.com/item/main.naver?code=316140,"8조4,819억원",11650,11000,5.58
011070,LG이노텍,https://finance.naver.com/item/main.naver?code=011070,"8조1,652억원",345000,341000,1.16
036570,엔씨소프트,https://finance.naver.com/item/main.naver?code=036570,8조681억원,367500,363500,1.09
090430,아모레퍼시픽,https://finance.naver.com/item/main.naver?code=090430,"7조8,380억원",134000,133500,0.37
086280,현대글로비스,https://finance.naver.com/item/main.naver?code=086280,"6조8,438억원",182500,181000,0.82
024110,기업은행,https://finance.naver.com/item/main.naver?code=024110,"6조8,252억원",9170,8880,3.16
352820,하이브,https://finance.naver.com/item/main.naver?code=352820,"6조3,891억원",154500,156500,-1.29
009830,한화솔루션,https://finance.naver.com/item/main.naver?code=009830,"6조1,879억원",32350,32000,1.08
326030,SK바이오팜,https://finance.naver.com/item/main.naver?code=326030,6조849억원,77700,78100,-0.51
361610,SK아이이테크놀로지,https://finance.naver.com/item/main.naver?code=361610,"5조9,533억원",83500,81800,2.04
251270,넷마블,https://finance.naver.com/item/main.naver?code=251270,"5조9,050억원",68700,68400,0.44
097950,CJ제일제당,https://finance.naver.com/item/main.naver?code=097950,"5조8,862억원",391000,397500,-1.66
009540,한국조선해양,https://finance.naver.com/item/main.naver?code=009540,"5조8,742억원",83000,79700,3.98
011170,롯데케미칼,https://finance.naver.com/item/main.naver?code=011170,"5조8,097억원",169500,166000,2.06
402340,SK스퀘어,https://finance.naver.com/item/main.naver?code=402340,"5조7,931억원",40950,40350,1.47
034220,LG디스플레이,https://finance.naver.com/item/main.naver?code=034220,"5조5,283억원",15450,15200,1.62
018880,한온시스템,https://finance.naver.com/item/main.naver?code=018880,"5조4,181억원",10150,10050,0.99
032640,LG유플러스,https://finance.naver.com/item/main.naver?code=032640,"5조3,485억원",12250,11950,2.45
383220,F&F,https://finance.naver.com/item/main.naver?code=383220,"5조3,247억원",139000,140500,-1.08
035250,강원랜드,https://finance.naver.com/item/main.naver?code=035250,"5조2,415억원",24500,24600,-0.41
047810,한국항공우주,https://finance.naver.com/item/main.naver?code=047810,"4조9,420억원",50700,48500,4.34
137310,에스디바이오센서,https://finance.naver.com/item/main.naver?code=137310,"4조8,538억원",47000,47000,0.0
011790,SKC,https://finance.naver.com/item/main.naver?code=011790,"4조8,093억원",127000,125000,1.57
010140,삼성중공업,https://finance.naver.com/item/main.naver?code=010140,"4조7,872억원",5440,5260,3.31
021240,코웨이,https://finance.naver.com/item/main.naver?code=021240,"4조7,748억원",64700,65400,-1.08
