section,title,url,content
정치,"""비대면 진료 전면허용 안돼..위법행위 도 넘어""",https://v.daum.net/v/20220718154332701,
국제,"獨숄츠 ""러 조건대로 종전 협상시 대러 제재 그대로 유지""",https://v.daum.net/v/20220718154317694,"(서울=연합뉴스) 정윤주 기자 = 의사 출신인 더불어민주당 신현영 의원은 18일 ""무조건 비대면 진료를 전면 허용해서는 안 된다""며 ""지금이라도 어떤 경우에 비대면 진료가 필요한지 범위에 대한 검토가 필요하다""고 주장했다."
사회,'취재원 강요미수' 이동재 전 채널A 기자 내달 2심 첫 재판,https://v.daum.net/v/20220718154308689,"신 의원은 이날 오후 국회 소통관에서 비대면 진료와 관련한 의사협회·대한약사회 와의 공동 기자회견에서 ""코로나19 기간 비대면 진료 전면 허용으로 발생한 부작용을 말하고 싶다""며 이같이 밝혔다."
국제,"美는 '투기디데스 함정'에, 中은 '킨들버거 함정'에 빠졌다",https://v.daum.net/v/20220718154238673,비대면 진료는 환자가 의료기관을 직접 방문하지 않더라도 전화로 의사와 상담하면 약국에서 조제된 약을 받을 수 있는 제도다. 코로나19로 인해 병원 방문이 힘들어지자 2020년 3월부터 한시적으로 운영되고 있다.
경제,"""지금이 저가 매수 타이밍""..자사주 사들이는 유통업계 임원들",https://v.daum.net/v/20220718154137635,"신 의원은 ""비대면 진료는 미래 의료의 도구가 되었으나 심각한 상업적·위법적 행위들이 도를 넘었다""며 ""무자격자가 무허가 수입 의약품과 비대면 처방전을 활용해 약을 조제해 기소된 사건, 약국에서 카톡이나 플랫폼을 통해 전문의약품 등을 약국 외 장소에서 배달판매해 업무정지 또는 고발당한 사건 등 비대면 진료 과정에서 9건의 약사법 위반 사례들이 있었다""고 설명했다. "
사회,"환경단체 ""고리 2호기 수명연장 방사선평가는 눈속임""..연장 중단 촉구",https://v.daum.net/v/20220718154009580,"신 의원은 ""총 9건 중 8건은 서울시에서, 1건은 경남에서 발생했는데 지자체의 의지에 따라 이런 위법사례가 발굴될 수도 은폐될 수도 있다""며 ""이런 위법 사례는 약 300만건의 비대면 진료 중 빙산의 일각일 수 있다""고 했다."
사회,'이상한 변호사 우영우' 속 세상은 모두 판타지일까?,https://v.daum.net/v/20220718154005579,"그는 ""기존 비대면 진료에 대한 올바른 평가와 부작용 사례 확인 및 대안 마련 등이 필요하고 코로나 확진자와 자가격리자 등 비대면 진료가 허용되는 범위에 대한 검토가 필요하다""고 덧붙였다."
정치,'친문·97 vs 친명·처럼회'..뚜렷해지는 민주당 전당대회 전선,https://v.daum.net/v/20220718153941568,"이날 기자회견에는 이필수 대한의사협회장, 최광훈 대한약사회장 등이 배석했다."
정치,"박수현""文 정부라고 100%완벽했겠나? 尹 정부 태도가 문제""[이앤피]",https://v.daum.net/v/20220718153906545,
정치,"이만희, 민주 경찰국 반대에 ""제2의 광우병사태 획책하나""",https://v.daum.net/v/20220718153634432,jungle@yna.co.kr
사회,"10명 중 3명, 성인 돼서도 부모와 동거..64.7%는 경제적 지원도",https://v.daum.net/v/20220718153613413,▶제보는 카톡 okjebo
사회,"맹견이 덤벼든다면? 동물행동교정 전문가 ""등 보이지 마라, 목을 보호해라""",https://v.daum.net/v/20220718153601395,저작권자(c)연합뉴스. 무단전재-재배포금지
국제,"""우토로 평화기념관, 우리가 차별에 맞서 싸웠다는 증거""",https://v.daum.net/v/20220718153542380,"기사내용 요약 ""EU도 통합…만장일치로 전례 없는 제재"" ""우크라 수용할 합의 외 다른 길은 없어"""
국제,"""바이든이 가면 나도.."" 푸틴, 이란 방문 '3국 정상회담' 연다",https://v.daum.net/v/20220718153531372,
정치,"우상호, '어민 북송 영상' 공개에 ""참 끝이 없다, 당장 중단하길""",https://v.daum.net/v/20220718153356301,[서울=뉴시스] 신정원 기자 = 올라프 숄츠 독일 총리는 러시아의 요구대로 우크라이나 종전 협상을 할 경우 유럽연합(EU)의 대러 제재를 그대로 유지할 것이라고 강경한 입장을 보였다.
사회,'코로나19 재유행 대비 전략심포지엄' 19일 대구서 개최,https://v.daum.net/v/20220718153141209,"숄츠 총리는 17일(현지시간) 발간된 프랑크푸르터 알게마이네 차이퉁 기고문에서 ""러시아와 우크라이나가 러시아의 조건대로 평화 협정에 서명할 경우 EU는 러시아에 부과한 제재를 철회하지 않을 것""이라고 밝혔다고 타스 통신이 전했다."
경제,"'빚투족' 지원 논란 진화 나선 금융위.. 김주현 위원장 ""원금 탕감 절대 없다""",https://v.daum.net/v/20220718153135202,"그는 ""새로운 현실 중 하나는 EU도 (우크라이나 전쟁으로) 통합됐다는 것""이라며 ""EU는 러시아의 공격에 이견 없이 대응했고 전례 없는 가혹한 제재를 가했다""고 지적했다."
경제,가전·반도체가 안 팔린다..고민 커진 삼성·LG,https://v.daum.net/v/20220718153101169,"숄츠 총리는 ""우리는 이러한 제재를 오랫동안 유지할 수 있다는 것을 처음부터 알았다""고 했다."
경제,'버텨야 사는' 르노코리아·한국GM이 짊어진 '임단협 모래주머니',https://v.daum.net/v/20220718153057164,"이어 ""러시아가 요구하는 대로 평화 협정이 체결되면 이 제재 중 단 하나도 철회되지 않을 것""이라며 ""우크라이나인들이 수용할 수 있는 합의 이 외에 다른 길은 없다""고 강조했다."
경제,"글로벌 반도체 기업 경영진 ""최우선 과제는 인재 유치·양성""",https://v.daum.net/v/20220718153004112,"또 ""우리는 우크라이나가 경제적, 인도적, 재정적, 무기 등 지원을 필요로 하는 한 우크라이나를 지원할 것""이라고 피력했다."
,,,"동시에 ""북대서양조약기구(NATO·나토)는 전쟁의 편에 서지 않을 것을 보장한다""며 러시아와의 전쟁에 직접 참전하지는 않을 것임을 재확인했다."
,,,☞공감언론 뉴시스 jwshin@newsis.com 
,,,ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지
,,,
,,,(서울=뉴스1) 온다예 기자 = 취재원에게 '유시민 전 노무현재단 이사장의 비위를 제보하라'고 강요하다 미수에 그친 혐의로 재판에 넘겨진 이동재 전 채널A 기자의 2심 재판이 다음달 시작된다. 
,,,18일 법조계에 따르면 서울중앙지법 형사항소9부(부장판사 양경승)는 강요미수 혐의로 기소된 이 전 기자의 1회 공판기일을 8월18일 진행한다. 공범으로 함께 기소된 후배 백모 기자에 대한 심리도 이날 함께 이뤄진다. 
,,,이 전 기자는 2020년 2~3월 신라젠 의혹 취재 과정에서 수감 중이던 이철 전 밸류인베스트코리아(VIK) 대표에게 다섯 차례 편지를 보내 가족에 대한 검찰수사 등 불이익이 있을 것처럼 압박해 '유 이사장의 비위를 제보하라'고 강요했으나 미수에 그친 혐의를 받는다.
,,,또 이 전 대표 대리인인 '제보자 엑스' 지모씨를 세 차례 만나 유 전 이사장의 비위를 제보하라고 요구하며 협박성 취재를 한 혐의도 있다.
,,,"1심은 ""합리적 의심없이 범죄 증명이 되지 않는다""며 이 전 기자와 백 기자에게 각각 무죄를 선고했다. "
,,,1심은 강요죄가 성립하려면 피해자에게 구체적인 해악을 끼치겠다고 알려야 하는데 편지 내용만으로는 이같은 '해악의 고지'를 인정하기 어렵다고 봤다. 
,,,"특히 ""녹취록을 보여주거나 녹취파일을 들려준 것은 결국 지씨의 요구에 의한 것""이라며 ""이를 해악의 고지로 본다면 결국 피해자 대리인의 요구로 피해자를 협박한 셈이 돼 상식과 경험칙에 반하는 결론에 이르게 된다""고 밝혔다. "
