source,title,url,content
연합뉴스,"네이버클라우드, 마이데이터 통합인증 증계 시스템 구축",https://www.yna.co.kr/view/AKR20220718058200017?input=1195m,"[네이버클라우드 제공, 재판매 및 DB 금지] (서울=연합뉴스) 조승한 기자 = 네이버클라우드는 금융보안원의 '마이데이터 통합 인증 중계 시스템' 구축 사업자로 선정됐다고 18일 밝혔다. 이 사업은 마이데이터 통합 인증에서 클라우드 기반 중계 시스템을 구축해 시스템에 1회 연동하는 것만으로 여러 인증수단이 연동되도록 하려는 것이다. 정보제공자와 인증기관, 중계기관이 제각각 인증서를 연동해야 해 불편했던 기존 방식을 개선할 수 있다고 네이버클라우드는 설명했다.[금융보안원 제공, 재판매 및 DB 금지] 네이버클라우드는 데이터 플랫폼 기업 쿠콘[294570] 등과 컨소시엄을 구성해 사업에 참여한다. 통합 인증 중계 시스템은 9월 시범 가동 후 정식 운영될 예정이다. 네이버클라우드 임정욱 공공·금융 세일즈 이사는 ""네이버 클라우드의 전문적인 인프라 설계 및 운영 경험과 유연한 트래픽 관리 경험을 살려 안정적인 통합 인증 중계 시스템을 구축하겠다""고 말했다. shjo@yna.co.kr
제보는 카카오톡 okjebo
<저작권자(c) 연합뉴스,
무단 전재-재배포 금지>
2022/07/18 10:24 송고
"
파이낸셜뉴스,"쿠콘, 금융보안원 마이데이터 통합인증 중계 시스템 구축",http://www.fnnews.com/news/202207180924426848,
뉴시스,"KISTI, 소방 빅데이터 분석 교육훈련 과정 3차례 운영",http://www.newsis.com/view/?id=NISX20220718_0001946689&cID=10807&pID=10800,
ZDNet Korea언론사 선정,"아이티센, 쌍용정보통신과 바스트 데이터 서밋 후원",https://zdnet.co.kr/view/?no=20220718162450,
ZDNet Korea언론사 선정,"크라우드웍스, TTA '인공지능 학습용 데이터 검사' 수행사 2년 연속 선정",https://zdnet.co.kr/view/?no=20220718101254,
뉴스1,"유엔젤, eSIM 데이터 스토어 앱 '로밍도깨비 이심(eSIM)' 업그레이드",https://www.news1.kr/articles/?4745335,
아이뉴스24,"요기요-포스텍, '데이터사이언스·라스트마일' 기술 연구 MOU 체결",http://www.inews24.com/view/1501402,
이데일리,"서울특별시동부여성발전센터, 데이터융합 AI 프로젝트 전문가 양성과정 개설",http://www.edaily.co.kr/news/newspath.asp?newsid=03178326632395832,
헤럴드경제,일러스트로 담아낸 77년 ‘K화장 트렌드’ 데이터,http://news.heraldcorp.com/view.php?ud=20220718000523,
전자신문,"요기요, 포스텍과 데이터사이언스 산학협력 MOU",http://www.etnews.com/20220718000261,
